Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8509621946226287,0.729036729036729,0.6001140901312036,0.6583229036295369,0.9052698321663349
Random Forest,0.8322642281970793,0.6100840336134454,0.8282943525385055,0.7026373094604403,0.9165636601031069
XGBoost,0.8388153405213593,0.6177924217462932,0.8556759840273817,0.7175316909830184,0.9280731724240836
